wave,flux
3874.513958884989,0.0
3874.5245565568944,0.0
3874.535154257787,0.0
3874.5457519876704,0.0
3874.5563497465373,0.0
3874.5669475343916,0.0
3874.5775453512333,0.0
3874.588143197066,0.0
3874.5987410718826,0.0
3874.6093389756866,0.0
3874.619936908482,0.0
3874.6305348702617,0.0
3874.641132861029,0.0
3874.651730880784,0.0
3874.662328929531,0.0
3874.6729270072624,0.0
3874.683525113982,0.0
3874.6941232496933,0.0
3874.704721414389,0.0
3874.715319608073,0.0
3874.725917830746,0.0
3874.736516082411,0.0
3874.747114363061,0.0
3874.7577126726997,0.0
3874.7683110113267,0.0
3874.778909378947,0.0
3874.789507775552,0.0
3874.8001062011463,0.0
3874.8107046557334,0.0
3874.8213031393057,0.0
3874.831901651867,0.0
3874.8425001934183,0.0
3874.8530987639624,0.0
3874.8636973634925,0.0
3874.874295992012,0.0
3874.884894649525,0.0
3874.8954933360237,0.0
3874.906092051512,0.0
3874.9166907959907,0.0
3874.927289569463,0.0
3874.9378883719214,0.0
3874.94848720337,0.0
3874.959086063809,0.0
3874.969684953242,0.0
3874.9802838716614,0.0
3874.990882819071,0.0
3875.0014817954757,0.0
3875.0120808008664,0.0
3875.0226798352483,0.0
3875.0332788986207,0.0
3875.0438779909878,0.0
3875.054477112342,0.0
3875.065076262687,0.0
3875.075675442027,0.0
3875.086274650355,0.0
3875.096873887673,0.0
3875.1074731539834,0.0
3875.118072449289,0.0
3875.1286717735816,0.0
3875.139271126866,0.0
3875.1498705091417,1182.9190506842885
3875.160469920413,2417.2748951403696
3875.171069360673,1455.5187134331436
3875.181668829924,2465.8350379074636
3875.1922683281714,2408.1185850853544
3875.2028678554066,2543.0953386105934
3875.213467411634,4436.444334538093
3875.2240669968537,2896.5395753768244
3875.2346666110693,3636.6765751723287
3875.2452662542737,3955.8302138746294
3875.25586592647,3994.2268527366978
3875.2664656276634,4134.106284212827
3875.277065357845,4320.239448012521
3875.2876651170195,4735.558136932996
3875.2982649051864,5351.914514832359
3875.3088647223503,5725.4235809708925
3875.319464568503,6201.94556275187
3875.330064443649,7009.73338724063
3875.340664347788,7183.293403528573
3875.3512642809237,8269.917689678072
3875.361864243049,9627.717494670535
3875.372464234167,9097.45263440357
3875.383064254283,9175.604522733296
3875.3936643033885,8735.075765317088
3875.4042643814873,8971.587934946787
3875.41486448858,8326.103758070254
3875.42546462467,9451.251568271051
3875.4360647897497,10559.591490158346
3875.4466649838237,8560.127612003502
3875.457265206895,8414.680365029955
3875.467865458957,8944.05122827174
3875.478465740013,8147.610296756262
3875.489066050063,7692.426663658843
3875.4996663891106,8404.250578860898
3875.510266757149,8872.829007661407
3875.5208671541823,8805.366422682504
3875.5314675802097,9197.165183558885
3875.5420680352354,8491.533741579362
3875.552668519252,7357.42088629969
3875.5632690322636,6421.587004870466
3875.5738695742734,6456.468898206542
3875.5844701452747,5540.796450115682
3875.5950707452707,3812.7574603570392
3875.6056713742614,3582.391548391315
3875.616272032252,2818.591483020049
3875.626872719233,2096.805577827443
